Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,250.75,253.67999267578125,249.27000427246094,252.6999969482422,247.66412353515625,2610200
2023-01-24,252.8800048828125,259.04998779296875,249.75,257.6099853515625,252.47625732421875,3505100
2023-01-25,254.52999877929688,259.19000244140625,254.32000732421875,258.44000244140625,253.28973388671875,2424900
2023-01-26,260.0,262.260009765625,256.8900146484375,262.1199951171875,256.8963928222656,2677200
2023-01-27,262.4599914550781,266.0400085449219,262.1199951171875,264.5400085449219,259.2681579589844,2783000
2023-01-30,263.3399963378906,265.0,261.30999755859375,261.5,256.28875732421875,3426900
2023-01-31,257.0,257.3900146484375,246.41000366210938,252.2899932861328,247.26229858398438,10992100
2023-02-01,251.75,252.6999969482422,245.30999755859375,249.5399932861328,244.5670928955078,6022000
2023-02-02,249.3300018310547,249.52999877929688,241.8000030517578,244.89999389648438,240.0195770263672,6130300
2023-02-03,244.0,250.9499969482422,243.1300048828125,247.75999450683594,242.8225555419922,4134700
2023-02-06,248.11000061035156,252.13999938964844,248.0,251.4199981689453,246.40963745117188,3528800
2023-02-07,250.5500030517578,252.0,245.35000610351562,249.66000366210938,244.68470764160156,3467900
2023-02-08,248.10000610351562,251.55999755859375,247.0800018310547,248.8699951171875,243.91043090820312,2300300
2023-02-09,250.0,251.97000122070312,245.47999572753906,246.27999877929688,241.3720703125,2464900
2023-02-10,246.27999877929688,248.6300048828125,244.63999938964844,247.6699981689453,242.73435974121094,2820300
2023-02-13,243.5,248.3800048828125,242.64999389648438,248.14999389648438,243.20480346679688,3068100
2023-02-14,247.00999450683594,247.30999755859375,241.64999389648438,244.36000061035156,239.49032592773438,2512900
2023-02-15,244.1999969482422,248.77000427246094,243.22999572753906,248.6999969482422,243.7438201904297,2398200
2023-02-16,246.5,248.52999877929688,244.52000427246094,246.52000427246094,241.6072998046875,1934900
2023-02-17,247.86000061035156,250.86000061035156,245.6300048828125,247.7899932861328,242.8519744873047,3759300
2023-02-21,244.5,248.0,239.75,240.7100067138672,235.9130859375,3105900
